FECHA,TIPO_REPORTE,TIPO_DATO,SUBTIPO_DATO,VALOR,FECHA_PROCESO,ID_CARGA
05AUG2021:00:00:00,reporte_prensa,tr_en_geriatricos,pcr_realizados_positivos_reportados_del_dia,0.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,tr_realizados_acumulados,154379.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,tr_realizados_acumulados_positivos,10796.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,pcr_realizados_positivos,1829.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,tr_nuevos,0.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,tr_realizados_positivos_reportados_del_dia,0.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,tr_en_fuerzas_de_seguridad_insituto_de_cadetes_transporte_y_carga_manual_policia,pcr_realizados_positivos_reportados_del_dia,0.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,plan_detectar_bv,casos_confirmados_barrio_1-11-14,10040.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,plan_detectar_bv,casos_confirmados_barrio_15,4808.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,plan_detectar_bv,casos_confirmados_barrio_20,3739.0,01OCT2021:00:00:00,2329107
05AUG2021:00:00:00,reporte_prensa,plan_detectar_bv,casos_confirmados_barrio_21-24,8341.0,01OCT2021:00:00:00,2329107
